full_name,type,state,district,twitter_url,bioguide_id
Stephanie N. Murphy,rep,FL,7,https://twitter.com/SMurphyCongress,M001202
Bill Posey,rep,FL,8,https://twitter.com/PoseyCampaign,P000599
Darren Soto,rep,FL,9,https://twitter.com/DarrenSoto,S001200
Val Butler Demings,rep,FL,10,https://twitter.com/val_demings,D000627
Daniel Webster,rep,FL,11,https://twitter.com/WebsterCongress,W000806
Gus M. Bilirakis,rep,FL,12,https://twitter.com/Bilirakis,B001257
Charlie Crist,rep,FL,13,https://twitter.com/CharlieCrist,C001111
Kathy Castor,rep,FL,14,https://twitter.com/KathyCastorFL,C001066
C. Scott Franklin,rep,FL,15,https://twitter.com/ScottFranklinFL,F000472
Vern Buchanan,rep,FL,16,https://twitter.com/Vern2014,B001260
W. Gregory Steube,rep,FL,17,https://twitter.com/gregsteube,S001214
Brian J. Mast,rep,FL,18,https://twitter.com/BrianMastFL,M001199
Byron Donalds,rep,FL,19,https://twitter.com/ByronDonalds,D000032
Alcee L. Hastings,rep,FL,20,https://twitter.com/alcee4congress,H000324
Lois Frankel,rep,FL,21,https://twitter.com/LoisFrankel,F000462
Theodore E. Deutch,rep,FL,22,https://twitter.com/TedDeutch,D000610
Debbie Wasserman Schultz,rep,FL,23,https://twitter.com/DWStweets,W000797
Frederica S. Wilson,rep,FL,24,https://twitter.com/FSWInTheHouse,W000808
Mario Diaz-Balart,rep,FL,25,https://twitter.com/MarioDBCamp,D000600
Carlos A. Gimenez,rep,FL,26,https://twitter.com/CarlosGimenezFL,G000593
Maria Elvira Salazar,rep,FL,27,https://twitter.com/MaElviraSalazar,S000168
"Earl L. ""Buddy"" Carter",rep,GA,1,https://twitter.com/Buddy_Carter,C001103
"Sanford D. Bishop, Jr.",rep,GA,2,NaN,B000490
A. Drew Ferguson IV,rep,GA,3,https://twitter.com/DrewFergusonGA,F000465
"Henry C. ""Hank"" Johnson, Jr.",rep,GA,4,https://twitter.com/ReElectHank,J000288
